"1"	0.58	0.96	8.6802
"2"	0.45	0.32	5.4609
"3"	0.43	0.87	6.9103
"4"	0.24	0.36	3.4808
"5"	0.65	0.78	8.8407
"6"	0.14	0.36	2.4809
"7"	0.34	0.65	5.3505
"8"	0.65	0.45	7.8501
"9"	0.24	0.54	4.0208
"10"	0.43	0.45	5.6507
"11"	0.65	0.34	7.5205
"12"	0.54	0.44	6.7209
"13"	0.43	0.23	4.9904
"14"	0.55	0.43	6.7904
"15"	0.43	0.23	4.9906
"16"	0.15	0.34	2.5206
"17"	0.31	0.23	3.7903
"18"	0.43	0.23	4.9901
"19"	0.43	0.23	4.9902
"20"	0.44	0.23	5.0907
"21"	0.23	0.13	2.6907
"22"	0.15	0.33	2.4908
"23"	0.17	0.56	3.3800
"24"	0.34	0.77	5.7101
"25"	0.39	0.88	6.5405
